Elevation,density
-500,1.2
-450,1.2
-400,1.2
-350,1.2
-300,1.2
-250,1.2
-200,1.2
-150,1.2
-100,1.2
-50,1.2
0,1.2
50,1.2
100,1.2
150,1.2
200,1.2
250,1.2
300,1.2
350,1.2
400,1.2
450,1.2
500,1.2
550,1.2
600,1.2
650,1.2
700,1.2
750,1.2
800,1.2
850,1.2
900,1.2
950,1.2
1000,1.2
1050,1.2
1100,1.2
1150,1.2
1200,1.2
1250,1.2
1300,1.2
1350,1.2
1400,1.2
1450,1.2
1500,1.2
1550,1.2
1600,1.2
1650,1.2
1700,1.2
1750,1.2
1800,1.2
1850,1.2
1900,1.2
1950,1.2
2000,1.2
2050,1.2
2100,1.2
2150,1.2
2200,1.2
2250,1.2
2300,1.2
2350,1.2
2400,1.2
2450,1.2
2500,1.2
2550,1.2
2600,1.2
2650,1.2
2700,1.2
2750,1.2
2800,1.2
2850,1.2
2900,1.2
2950,1.2
3000,1.2
3050,1.2
3100,1.2
3150,1.2
3200,1.2
3250,1.2
3300,1.2
3350,1.2
3400,1.2
3450,1.2
3500,1.2
3550,1.2
3600,1.2
3650,1.2
3700,1.2
3750,1.2
3800,1.2
3850,1.2
3900,1.2
3950,1.2
4000,1.2
4050,1.2
4100,1.2
4150,1.2
4200,1.2
4250,1.2
4300,1.2
4350,1.2
4400,1.2
4450,1.2
4500,1.2
4550,1.2
4600,1.2
4650,1.2
4700,1.2
4750,1.2
4800,1.2
4850,1.2
4900,1.2
4950,1.2
5000,1.2
5050,1.2
5100,1.2
5150,1.2
5200,1.2
5250,1.2
5300,1.2
5350,1.2
5400,1.2
5450,1.2
5500,1.2
5550,1.2
5600,1.2
5650,1.2
5700,1.2
5750,1.2
5800,1.2
5850,1.2
5900,1.2
5950,1.2
6000,1.2
6050,1.2
6100,1.2
6150,1.2
6200,1.2
6250,1.2
6300,1.2
6350,1.2
6400,1.2
6450,1.2
6500,1.2
6550,1.2
6600,1.2
6650,1.2
6700,1.2
6750,1.2
6800,1.2
6850,1.2
6900,1.2
6950,1.2
7000,1.2
7050,1.2
7100,1.2
7150,1.2
7200,1.2
7250,1.2
7300,1.2
7350,1.2
7400,1.2
7450,1.2
7500,1.2
7550,1.2
7600,1.2
7650,1.2
7700,1.2
7750,1.2
7800,1.2
7850,1.2
7900,1.2
7950,1.2
8000,1.2
8050,1.2
8100,1.2
8150,1.2
8200,1.2
8250,1.2
8300,1.2
8350,1.2
8400,1.2
8450,1.2
8500,1.2
8550,1.2
8600,1.2
8650,1.2
8700,1.2
8750,1.2
8800,1.2
8850,1.2
8900,1.2
8950,1.2
9000,1.2
9050,1.2
9100,1.2
9150,1.2
9200,1.2
9250,1.2
9300,1.2
9350,1.2
9400,1.2
9450,1.2
